N,P,K,temperature,humidity,ph,rainfall,label,,
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,,298.5601175
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,,30.92014047
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,,
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,,
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,,
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,,
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,,
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,,
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,,
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,,
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,,
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,,
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,,
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,,
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,,
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,,
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,,
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,,
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,,
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,,
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,,
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,,
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,,
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,,
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,,
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,,
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,,
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,,
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,,
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,,
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,,
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,,
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,,
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,,
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,,
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,,
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,,
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,,
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,,
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,,
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,,
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,,
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,,
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,,
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,,
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,,
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,,
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,,
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,,
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,,
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,,
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,,
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,,
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,,
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,,
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,,
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,,
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,,
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,,
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,,
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,,
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,,
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,,
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,,
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,,
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,,
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,,
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,,
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,,
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,,
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,,
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,,
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,,
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,,
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,,
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,,
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,,
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,,
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,,
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,,
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,,
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,,
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,,
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,,
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,,
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,,
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,,
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,,
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,,
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,,
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,,
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,,
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,,
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,,
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,,
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,,
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,,
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,,
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,,
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,,
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,,
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,,
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,,
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,,
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,,
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,,
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,,
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,,
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,,
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,,
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,,
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,,
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,,
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,,
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,,
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,,
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,,
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,,
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,,
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,,
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,,
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,,
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,,
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,,
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,,
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,,
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,,
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,,
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,,
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,,
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,,
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,,
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,,
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize,,
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,,
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,,
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,,
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,,
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize,,
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,,
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,,
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,,
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,,
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,,
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,,
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,,
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,,
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,,
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,,
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,,
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize,,
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,,
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,,
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,,
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,,
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,,
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,,
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,,
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize,,
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,,
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,,
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,,
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,,
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,,
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,,
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,,
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize,,
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize,,
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,,
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,,
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,,
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,,
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,,
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,,
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,,
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,,
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,,
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,,
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize,,
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,,
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,,
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,,
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize,,
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize,,
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,,
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize,,
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize,,
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,,
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,,
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,,
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,,
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,,
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,,
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize,,
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,,
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,,
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize,,
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,,
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,,
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,,
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,,
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,,
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea,,
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea,,
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea,,
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea,,
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea,,
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea,,
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea,,
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea,,
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea,,
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea,,
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea,,
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea,,
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,,
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea,,
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,,
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea,,
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea,,
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea,,
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea,,
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,,
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,,
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,,
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea,,
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,,
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,,
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea,,
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea,,
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea,,
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,,
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea,,
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,,
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea,,
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,,
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea,,
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea,,
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea,,
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea,,
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,chickpea,,
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea,,
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea,,
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea,,
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea,,
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea,,
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea,,
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,chickpea,,
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea,,
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea,,
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea,,
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,chickpea,,
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea,,
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea,,
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,chickpea,,
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea,,
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea,,
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea,,
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea,,
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea,,
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea,,
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea,,
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,chickpea,,
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea,,
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,chickpea,,
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,chickpea,,
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,chickpea,,
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,chickpea,,
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,chickpea,,
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,chickpea,,
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea,,
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea,,
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea,,
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea,,
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,chickpea,,
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea,,
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,chickpea,,
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,chickpea,,
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea,,
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea,,
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea,,
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,chickpea,,
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea,,
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea,,
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea,,
45,61,78,19.48649305,16.06240074,6.489389282,81.5284269,chickpea,,
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea,,
30,75,81,19.41789736,16.80472243,6.408437886,68.4951189,chickpea,,
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,chickpea,,
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea,,
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,chickpea,,
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea,,
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,chickpea,,
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,chickpea,,
35,63,76,17.81564548,17.60756635,7.714153038,90.82097601,chickpea,,
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,chickpea,,
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea,,
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,chickpea,,
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,chickpea,,
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea,,
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,chickpea,,
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans,,
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans,,
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans,,
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans,,
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans,,
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,kidneybeans,,
17,57,21,19.88394011,20.31564139,5.789214289,60.91974792,kidneybeans,,
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans,,
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,kidneybeans,,
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,kidneybeans,,
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,kidneybeans,,
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans,,
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans,,
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans,,
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,kidneybeans,,
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans,,
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans,,
27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,kidneybeans,,
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans,,
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans,,
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,kidneybeans,,
19,65,25,18.09551014,18.29318436,5.625096446,144.7902323,kidneybeans,,
22,70,19,18.23775702,21.07643273,5.515615023,69.44951585,kidneybeans,,
37,64,22,17.48189735,18.8251973,5.954665349,121.9401369,kidneybeans,,
11,71,17,19.9191786,21.47324158,5.74644777,82.68554379,kidneybeans,,
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans,,
21,63,17,15.77370214,19.2303162,5.979973965,108.3441414,kidneybeans,,
24,80,22,16.71170642,19.17651433,5.635993966,96.77285817,kidneybeans,,
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,kidneybeans,,
16,75,21,18.50692825,23.61670065,5.679224346,87.0513289,kidneybeans,,
