N,P,K,temperature,humidity,ph,rainfall,label,,
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean,,
35,48,15,27.10818093,87.4512669,6.981758362,55.03723979,mungbean,,
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,mungbean,,
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean,,
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean,,
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,mungbean,,
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,mungbean,,
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean,,
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean,,
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean,,
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,mungbean,,
9,48,20,29.66461594,84.28187572,6.377568542,56.09542002,mungbean,,
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,mungbean,,
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,mungbean,,
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,mungbean,,
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,mungbean,,
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean,,
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,mungbean,,
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,mungbean,,
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean,,
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,mungbean,,
4,41,20,28.14720892,83.8001509,6.647965508,37.44800463,mungbean,,
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean,,
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean,,
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean,,
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean,,
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean,,
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,mungbean,,
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean,,
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,mungbean,,
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,mungbean,,
40,51,17,28.66086349,86.12194568,6.860602782,50.01534317,mungbean,,
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean,,
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean,,
38,36,21,28.02952623,84.8845732,6.556372966,36.12042927,mungbean,,
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean,,
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,mungbean,,
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,mungbean,,
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean,,
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean,,
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean,,
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean,,
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean,,
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean,,
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean,,
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean,,
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean,,
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean,,
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,mungbean,,
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,mungbean,,
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,mungbean,,
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,mungbean,,
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean,,
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean,,
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram,,
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram,,
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram,,
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram,,
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram,,
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram,,
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram,,
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,blackgram,,
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,blackgram,,
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram,,
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram,,
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,,
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram,,
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram,,
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram,,
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram,,
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,blackgram,,
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram,,
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,blackgram,,
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram,,
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,blackgram,,
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,blackgram,,
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,blackgram,,
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram,,
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,blackgram,,
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram,,
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram,,
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,blackgram,,
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram,,
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,blackgram,,
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,blackgram,,
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,blackgram,,
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram,,
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram,,
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,blackgram,,
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,blackgram,,
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram,,
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram,,
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram,,
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,blackgram,,
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,blackgram,,
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram,,
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram,,
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,blackgram,,
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram,,
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,blackgram,,
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram,,
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram,,
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,blackgram,,
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram,,
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram,,
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,blackgram,,
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram,,
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram,,
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram,,
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,blackgram,,
43,68,20,29.57812712,66.17587668,7.497469256,69.43895491,blackgram,,
44,76,22,27.26458947,68.01232937,7.775306272,68.91754359,blackgram,,
34,60,16,31.35730791,64.24992106,7.322555223,63.85668948,blackgram,,
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram,,
25,68,19,29.39982732,64.25510719,7.108450121,67.47677295,blackgram,,
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram,,
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,blackgram,,
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram,,
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram,,
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram,,
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram,,
52,70,16,33.66855394,66.60416867,7.534811833,67.32520551,blackgram,,
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,blackgram,,
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,blackgram,,
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram,,
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram,,
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram,,
56,76,16,28.27265858,61.18956161,7.513151076,63.29900785,blackgram,,
29,76,15,28.5417236,64.2020154,7.025607706,69.68862306,blackgram,,
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,blackgram,,
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,blackgram,,
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram,,
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram,,
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,blackgram,,
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,blackgram,,
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,blackgram,,
41,74,18,28.75751783,61.02701476,6.599147298,73.37686831,blackgram,,
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram,,
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram,,
27,60,17,26.41768321,63.64698302,7.026795359,64.42177127,blackgram,,
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram,,
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram,,
21,62,24,33.49077065,62.73317204,6.847382891,65.45328463,blackgram,,
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram,,
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,blackgram,,
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,blackgram,,
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,blackgram,,
59,63,18,31.65531175,60.13263713,6.52669158,66.69096751,blackgram,,
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram,,
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram,,
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,blackgram,,
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,blackgram,,
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram,,
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram,,
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate,,
6,18,37,19.65690085,89.93701023,5.937649578,108.0458926,pomegranate,,
8,26,36,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate,,
37,18,39,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate,,
0,27,38,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate,,
31,25,38,24.96273236,92.40501423,6.497366677,109.4169192,pomegranate,,
21,21,38,22.5526059,89.3259486,6.327673765,104.8955643,pomegranate,,
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate,,
25,27,41,19.20090378,94.27659596,6.923509371,108.0423555,pomegranate,,
15,11,38,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate,,
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate,,
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate,,
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate,,
4,20,41,24.26601316,93.7974061,6.537042717,104.5375109,pomegranate,,
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate,,
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate,,
18,27,41,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate,,
11,18,42,21.57936934,94.88267728,5.938528744,102.8593382,pomegranate,,
5,15,38,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate,,
18,23,44,23.71028128,89.61794165,6.184400085,105.6499907,pomegranate,,
9,8,40,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate,,
40,27,45,21.6602498,94.79397419,5.885638185,112.4349689,pomegranate,,
22,23,44,20.13037175,89.31505137,6.143874691,107.3416913,pomegranate,,
9,16,39,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate,,
12,29,40,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate,,
0,17,42,23.20242586,91.19442671,6.859840821,109.0946323,pomegranate,,
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate,,
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate,,
8,23,44,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate,,
29,16,36,19.81069447,88.92944254,5.740338002,102.860084,pomegranate,,
17,18,43,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate,,
34,21,42,18.75927679,89.93457597,6.648687274,111.0196744,pomegranate,,
21,23,42,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate,,
25,17,40,18.91251245,87.74938524,6.608023872,111.2800516,pomegranate,,
8,25,36,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate,,
26,18,42,19.72620525,89.64934166,6.910374919,108.2287276,pomegranate,,
4,19,42,23.83185873,87.84034604,6.306605528,111.2232716,pomegranate,,
36,24,41,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate,,
5,24,40,24.692258,93.87030088,6.297907579,104.6735454,pomegranate,,
19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate,,
39,30,38,20.12644921,87.59629625,6.965156738,108.065579,pomegranate,,
5,29,44,21.02432943,93.0569505,5.578095745,104.7847006,pomegranate,,
4,24,43,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate,,
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate,,
37,11,36,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate,,
9,25,41,24.81530144,91.90842992,5.972714857,109.2853418,pomegranate,,
29,22,43,19.66329768,87.95158129,5.561851831,106.0380805,pomegranate,,
5,21,38,22.43377991,90.3396556,6.107054808,112.459697,pomegranate,,
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate,,
4,18,37,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate,,
21,6,41,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate,,
29,21,45,23.40981539,93.13277,6.749260456,105.2240743,pomegranate,,
23,5,44,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate,,
13,7,43,18.20230419,91.12282162,7.013481515,109.6623974,pomegranate,,
5,13,37,22.34375696,89.7870345,5.648243649,103.3183074,pomegranate,,
27,24,41,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate,,
7,23,35,19.75088482,88.71691157,7.054313823,102.5538035,pomegranate,,
12,20,39,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate,,
4,19,43,18.07132963,93.14554876,5.779427402,106.3602023,pomegranate,,
3,9,45,23.89162561,89.61850203,6.535244251,104.617522,pomegranate,,
1,27,36,23.98598756,93.34236582,5.684995235,104.991282,pomegranate,,
23,30,44,20.93892916,85.42912869,6.12476108,103.0295938,pomegranate,,
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate,,
13,30,37,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate,,
40,11,44,24.45840036,86.10874614,6.322396027,111.3779693,pomegranate,,
21,9,40,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate,,
3,27,44,24.56811204,92.03009222,6.591302797,110.9633894,pomegranate,,
40,29,42,24.63228709,89.01574455,7.104094929,110.6956184,pomegranate,,
14,25,40,20.07386547,90.97819712,6.407872061,103.7084055,pomegranate,,
38,14,37,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate,,
34,9,36,22.8122645,86.34233767,6.276038961,110.4432293,pomegranate,,
32,14,37,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate,,
18,21,35,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate,,
8,23,38,19.30106297,87.1775172,7.005410734,105.4766591,pomegranate,,
15,6,41,19.0087067,88.83768149,6.897368477,108.6793978,pomegranate,,
0,5,36,24.35193812,90.88612388,6.152906502,105.529185,pomegranate,,
22,9,44,24.72235539,88.87651295,5.744361602,112.1926517,pomegranate,,
14,8,43,21.92513945,94.46485312,7.051654924,111.7162016,pomegranate,,
31,11,45,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate,,
39,17,45,18.09691127,90.42177379,6.924490731,104.88189,pomegranate,,
10,5,42,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate,,
8,28,38,23.22594,94.42971362,6.8444019,105.6917856,pomegranate,,
32,13,42,23.50128217,92.97527546,5.786058032,106.61905,pomegranate,,
18,9,40,19.44623085,89.02127045,5.627186257,106.1606833,pomegranate,,
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate,,
39,25,36,18.90223032,94.99897537,5.567805185,107.6103211,pomegranate,,
20,7,45,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate,,
11,10,45,22.63045168,88.45577158,6.397995609,109.0357597,pomegranate,,
40,18,43,19.38603815,86.79058496,5.767372539,109.9130984,pomegranate,,
3,26,39,24.38318965,91.19431555,7.079973241,103.6012114,pomegranate,,
9,16,36,23.77989026,92.93386903,5.893332378,106.977723,pomegranate,,
30,20,38,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate,,
40,9,41,24.37766782,85.4017118,5.78270695,106.128338,pomegranate,,
40,30,35,20.89273273,91.07776977,6.269663963,104.4407083,pomegranate,,
32,25,35,18.09903225,85.70786282,5.892913826,107.0050976,pomegranate,,
33,23,45,20.00218987,85.83618191,7.116538883,112.337046,pomegranate,,
4,14,41,19.85139326,89.80732335,6.430163481,102.8186358,pomegranate,,
13,17,45,21.25433607,92.65058936,7.159520979,106.2784673,pomegranate,,
39,24,39,23.65374106,93.32657504,6.431265737,109.8076178,pomegranate,,
8,28,37,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate,,
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana,,
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana,,
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana,,
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana,,
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana,,
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,banana,,
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana,,
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,banana,,
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana,,
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,banana,,
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,banana,,
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,banana,,
95,75,50,28.08166093,75.26429821,5.623615687,118.2761894,banana,,
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,banana,,
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana,,
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana,,
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana,,
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana,,
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana,,
117,86,48,28.6956201,82.54195839,6.225225239,116.1616839,banana,,
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,banana,,
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana,,
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana,,
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana,,
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana,,
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana,,
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,banana,,
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana,,
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana,,
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana,,
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana,,
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,banana,,
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana,,
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,banana,,
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,banana,,
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana,,
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana,,
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana,,
99,73,53,26.29039046,81.06003778,5.871702211,118.6730366,banana,,
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana,,
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana,,
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana,,
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana,,
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana,,
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,banana,,
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana,,
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,banana,,
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,banana,,
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana,,
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana,,
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana,,
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,banana,,
101,75,50,26.59386409,81.40740301,6.242528278,109.9825551,banana,,
93,81,50,27.71822477,76.57853189,6.036079266,102.2099836,banana,,
95,75,45,28.98333432,82.95958244,5.829898502,109.022564,banana,,
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana,,
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana,,
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana,,
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana,,
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,banana,,
111,79,53,28.31193338,75.77363772,6.165001278,119.695765,banana,,
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana,,
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana,,
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana,,
92,85,51,29.22118628,81.08183635,5.740764682,108.8616474,banana,,
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana,,
